Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GWO,F1,0.4407463073730469,"[ 0.63963599 -0.71124862  0.15090612 -0.47975343 -0.59768184 -0.49510074
  0.37026115 -0.32494058  0.41831496 -0.59445475 -0.47016202 -0.54470963
  0.4311267  -0.6416664  -0.53722224  0.53774847 -0.51285765  0.36686344
 -0.60830797 -0.06027443  0.6152049   0.30390378 -0.51364708 -0.45057683
  0.70822127 -0.49652849 -0.73810524  0.55550412 -0.55928746 -0.56107748]",67225.77111452102,56349.72774382139,36365.41955676419,23211.764442031024,23211.764442031024,12220.200954931057,9739.026546972837,6492.879967984498,5047.838621950339,3038.532204742143,3038.532204742143,2004.336799397632,1404.15466081493,1073.2087727978276,758.4686967395841,616.2029577404076,478.6385624319399,395.6079148127676,262.0477490927211,195.99732740181508,140.70587563525402,133.35807383729656,107.6736919485566,92.9100860667904,76.23696041287255,65.43464261258598,53.02591675471879,47.248534616023164,39.85856943165524,32.05617353578031,29.51741967543525,28.178408499627626,23.03197373185628,20.824639169783136,19.092488118994233,16.748471413138773,15.12391220613518,13.912476039205535,12.246693395066043,11.780806369326807,11.249084545457317,10.604557758015442,9.999600411252633,9.57722141812364,8.99454299241089,8.74634680330825,8.600156780980923,8.410500331787432,8.204258128307531,8.172567930206814
GWO,F1,0.4368772506713867,"[-0.47709924 -0.48635069  0.45965043  0.48584848  0.06028392  0.40634919
  0.44538994 -0.36224963  0.39639475 -0.24023687  0.51232982  0.28496146
 -0.31673315  0.3688591  -0.4690008  -0.30163053 -0.0717141   0.48546296
 -0.34735093  0.42183634  0.51835631 -0.65962184  0.17074753 -0.34589192
  0.07855523  0.14441382 -0.32740392 -0.45424197 -0.29828277 -0.00478029]",70918.28759925313,61349.64731686522,50388.503457652965,35016.38096248996,25435.956745429696,21271.977787820004,11536.73649059491,6459.302575961319,3888.6953503325353,3888.6953503325353,1717.1114128808695,1368.0742715483887,850.3315305460526,758.2199743910384,586.525603601289,436.14631810220635,338.19244437531484,208.22629262337395,178.3798337112117,125.92525669167628,82.7389125666317,63.12398370043295,56.560912997212036,47.34654348139544,40.5104486350733,29.183181488410035,26.65518558213938,23.142102117930712,17.97135062447366,14.732558937565472,12.441807917347539,11.954265618920457,10.480410219031995,9.52319988763487,8.806645580003973,8.055603378513693,7.475796274388794,7.136445153235356,6.367041175574987,6.192593217682507,5.858682218439367,5.426988997602498,5.232983305756027,4.988203320365149,4.871296396906089,4.6235828197186315,4.524194685653482,4.416046385446653,4.365314683540298,4.337242607021252
GWO,F1,0.4324760437011719,"[ 0.4792295  -0.17409175 -0.41759949  0.1148288  -0.4422236   0.3989283
 -0.52563872 -0.45451436  0.47320047  0.30435241  0.17925282 -0.49334199
  0.40852146  0.48185576 -0.26578715 -0.36918318  0.49920895  0.49543929
 -0.1085698   0.3208873  -0.28752433  0.17815296  0.52761127  0.3377868
 -0.57659397  0.31530884 -0.42490282 -0.36804825  0.3660084  -0.40379093]",73506.54112528266,45730.92948720079,34423.318353758215,18980.124744935605,16462.8744686432,15241.103249776534,11080.606148781113,9165.267323057045,6213.109076186561,3828.9519003607597,2779.3542332006637,1542.3033089571984,1261.8792756324206,929.1702387611922,655.6551329947099,462.25820079841964,282.91854102830075,244.40056680354522,198.645786759832,131.9114967043007,118.37981614450992,97.81085967664642,79.79063591186134,57.63424417003715,44.19332641777474,36.23033805281174,33.651677355004146,26.946999309038375,22.170060716199078,21.143421708714804,18.428389007888395,14.575070741999703,12.748671972564798,10.702110042291112,10.00527265234952,9.008285052809487,8.529970230486198,7.769896065670007,6.8247824285711305,6.601296244249226,6.189568469371203,5.81878300569164,5.6060204542028576,5.325812329618279,5.138506625546883,5.008870899512549,4.877237792598871,4.785205000765037,4.696341167429134,4.644408913991655
GWO,F1,0.4486384391784668,"[-0.57440548 -0.51289265  0.74035031  0.19695018 -0.56904715 -0.52043114
  0.38570366  0.69726795 -0.56599745 -0.46550071 -0.81191267  0.5533468
 -0.69226788  0.64791151  0.70553072  0.64614227  0.19234698  0.46868732
  0.59770904  0.62140735 -0.48826772 -0.77968367  0.70397615 -0.60188164
 -0.0883095  -0.43858383  0.53194587 -0.75435719  0.6597974  -0.63638654]",74314.38095035923,54377.513778763154,38245.52607565527,23240.03236565732,23240.03236565732,11677.772606444776,9566.20971707209,7076.510192422339,4505.829186807144,3847.0972167163045,2392.125452511642,1838.04379671271,1433.561193410112,1144.3554288879545,951.03500590915,709.3415578775817,556.7433031533511,474.57081983919613,380.0680984533376,310.1160827388474,213.7319630003017,172.14978804394752,133.80694122808967,103.1947186310896,78.85514707336772,73.78410775585145,64.55879508991157,51.0738704947871,45.16733396368151,37.789913476966234,31.789652518274277,26.328141719715386,23.689100892795505,22.09771999005924,19.549954181355066,18.36015458479945,16.622082868017813,15.623649148022587,14.705166490654255,13.763618865258547,13.568191300403166,12.75133464899712,12.239416496503633,11.925669225624373,11.415377949087333,11.197256353947404,10.765409461104195,10.495227323516055,10.443625055705189,10.322978313861624
GWO,F1,0.4759194850921631,"[-0.81638814  0.2872793  -0.77020724  0.768177    0.81347676  0.83892542
  0.78281635  0.27317221  0.42763346 -0.75713279  0.44929986  0.81210976
 -0.61129489  0.69405974  0.24953545  0.75088805 -0.93278991  0.82670142
  0.89479529 -0.54911924 -0.45058622 -0.09007989 -0.76505613 -0.82669498
 -0.71108712 -0.78460706 -0.96836896 -0.50732226  0.94073766  0.77083908]",63681.50221912007,54319.82743105765,36790.19580743271,20032.611408987366,16006.155258007606,16006.155258007606,12568.884034593128,8005.395373711995,8005.395373711995,6926.024774207063,4800.265263737277,2291.5848950529153,2170.5582489293524,1496.802069435943,1262.8552324834172,855.911511919354,575.5994037342191,531.5927347218998,340.40630159188396,329.403825822083,256.7822085902584,210.25731495732433,180.39005415552148,156.85074581152531,121.36288836722028,109.43015975231397,88.4387611737427,72.82952384955794,70.43370166870054,60.491953775164326,53.53555280663981,39.5734923115806,39.5734923115806,36.70144783526277,31.309849254036198,30.087934142364233,26.91689977633227,26.061448228188585,23.939681177023544,22.339649284575167,20.77418590901714,19.060171821192196,18.355332367477033,17.48969191712338,16.90549262052038,16.25517939857502,15.80297612521801,15.483534560704717,15.201589052299376,15.01546140717679
GWO,F1,0.5263593196868896,"[ 0.51518493 -0.51449993 -0.12786891 -0.54243219 -0.49545364  0.52521832
  0.41406699  0.47458847 -0.40270574 -0.31994193  0.33216181  0.46311113
  0.52566951 -0.49575886  0.41694045 -0.48696635  0.53477028 -0.46348456
  0.46052027 -0.1673196  -0.46910128 -0.34543172 -0.32955408 -0.09818576
 -0.45134236 -0.07650172  0.49204739  0.32448517  0.39324821 -0.2179075 ]",56662.54219277981,46085.91090795608,46085.91090795608,24204.817604881588,23218.013608274912,12515.433276478489,12515.433276478489,7024.586595887547,3868.657995896594,3835.099921599214,3361.6452917713086,1858.124728083938,1268.0072570879556,967.3805143146857,608.6236246666825,412.0016564529459,262.7694708071578,221.15513663491774,170.83325479977862,127.26304636968347,97.46835231726364,66.02026816531223,55.350039654359165,52.736663107047896,43.17623620568021,37.66560845305303,29.91326670427261,25.742155211545583,22.344019880860497,20.656103633519024,17.392407724498288,14.484481254254534,13.5658461810478,12.540051451639448,10.863976852993742,10.292056471392309,9.229565970971015,8.691899408609588,8.053420001323966,7.140493579754743,6.817509352754242,6.5843105617846795,6.225066503432586,5.94332724221127,5.712022842875146,5.644812570400501,5.513785681859133,5.37507069373065,5.269962610385244,5.238731007849561
GWO,F1,0.42801713943481445,"[ 0.25654479 -0.67180923 -0.38948597  0.55072812 -0.31458936 -0.05488929
 -0.56303129 -0.45407839  0.63423157  0.58387386  0.61776797 -0.56514384
 -0.31807517 -0.70746322 -0.12529036 -0.43733774  0.46998171 -0.48474199
  0.51261344 -0.73747796 -0.56127497 -0.55761174  0.52979228 -0.53833027
  0.27572903 -0.43512656 -0.50245718 -0.49882521  0.54110182 -0.28187457]",71281.2331208345,56136.62435223514,48594.047382901554,43384.0842217098,31356.417815667388,24866.674316362383,15996.511452211016,13499.813031455962,7060.956621675834,5036.626390209924,4049.5791787240064,2420.202390878708,1604.2464247018722,1428.5438571517393,1173.1556576198727,821.9533244503631,593.4245337575065,443.08502847746126,250.7237635113103,233.31946305911487,165.83634938337693,109.86777180761949,78.96928495753899,66.6179813965816,58.20910380916223,43.33768540600166,37.574090866905365,32.317419008749695,26.559283883233732,24.25968570572236,20.51364581383728,19.47006870587235,17.204837095215627,16.02246586163932,14.770937147312882,13.748667691826181,12.579988810922346,12.204677632384037,11.273780915419831,10.69313341103097,9.76698476517482,9.234398777856597,8.768757099579283,8.411122489601285,8.166256690098336,7.828456294763232,7.6330906118213235,7.600066031111301,7.545454722051719,7.447975105598183
GWO,F1,0.4276394844055176,"[ 0.41723459  0.53688276  0.74504735  0.8151337  -0.3545306   0.74416549
 -0.38580617 -0.05155522 -0.5360029   0.4673029  -0.63124079  0.6520771
 -0.58482759 -0.58618811  0.81229423 -0.66578979 -0.50889159  0.61373798
 -0.57994766 -0.84444013 -0.65268897  0.56489597 -0.70249313  0.81094327
 -0.47837053  0.6871489  -0.70426287 -0.73335062 -0.36320496  0.40504504]",59754.60755334501,45490.68502936925,34935.29808332263,31318.822247140884,22031.689939351367,14955.146786136856,14955.146786136856,10731.80190222786,10382.613803243437,6798.536348827314,4884.886954161886,4419.110925244229,3193.6273914532585,2424.937720101449,1658.5738418746892,1217.6478445396513,840.6347195296862,662.9036590126334,516.075711498042,353.548967101908,264.4309660317379,211.8257059690228,147.4822350090339,129.17499937933,116.43363804892593,86.04001786032666,70.78290301127174,53.29013265282623,47.292431814749776,36.7591604493879,36.37685862039186,30.811512696114796,27.824467719706444,23.751108695510865,22.610870554343368,19.955925293299025,18.560266897241668,17.92770881516929,16.748605794165492,15.759120787418459,14.915804640158369,13.978235160339473,12.967075739961556,12.758387786088392,12.303537144261485,11.99082907512845,11.634176910450124,11.419764534338416,11.339167226731877,11.243003138499544
GWO,F1,0.47115588188171387,"[-1.07211061 -0.75821403 -0.97855205  0.44681757  0.93346625 -0.81082092
 -1.07178644  0.6911935   0.84415842  0.65371184  0.4102475   0.26938582
  0.63008879  0.85462926 -0.62404558  0.45052905  0.7760238   0.82237741
  1.09326949 -0.83546921  0.49344595  0.70519254  0.92300391 -0.71681415
 -0.73684937 -0.48696883 -1.02321443  0.1810905  -0.78369853  0.94169707]",62887.44875344232,52370.15507077489,42053.97628186571,32703.124364828214,22095.441063315884,22095.441063315884,18592.863334290883,13883.57588960776,10213.791630693213,7321.278691133192,5111.7834749174,4493.489191928695,3826.4752006580184,2943.939772305592,1977.931341622243,1604.3295875054594,1064.8485856466352,836.1870986330995,579.7992317378405,520.1139947566976,457.27071659338674,349.49412099191414,246.29015978501195,210.78269732924548,177.07154829350503,134.85055303350782,120.23507229893272,98.34830909622718,81.70035355482202,67.14934503003472,57.84192377345681,50.467812046209325,45.724370779886044,40.45166338680824,36.4221329162508,33.921327773377286,30.885776932056483,28.62062297429557,27.192859787974275,24.436044669708625,23.90044706867043,22.403374560299227,20.91693604782935,20.370006765601214,19.69305182905593,18.94319606283887,18.450888085670933,18.124630975461304,17.923285701303367,17.776543514181576
GWO,F1,0.43719005584716797,"[ 0.30755773 -0.5689663  -0.23592157 -0.17422469  0.61810888  0.51963883
  0.55128016 -0.61111391  0.56101254  0.43116802  0.81539454  0.69094998
 -0.61471876 -0.34679023  0.75010788  0.62857511  0.75165675  0.62562715
  0.33669438  0.52988803  0.65412029 -0.3928281  -0.44016596  0.52694785
  0.5761716  -0.49885666  0.53625358 -0.36431315  0.27722849 -0.48523447]",74221.76371345107,55471.365909090535,46354.44814082431,34821.295004346954,23653.334524056754,19415.988822019288,14653.383505351765,11376.255949444845,8506.47047190479,6399.6635125324265,5019.354373225654,3004.7475458821414,1981.6117933315466,1451.4119010844026,1010.0075664801923,840.3867127664008,579.3818209057405,489.6054458557734,344.1608951444094,270.2627659287205,203.12156755675085,148.63648917716057,130.25055839141152,107.02808302107935,79.61305442785215,59.46416175667715,47.74392738804943,43.41801963277803,40.27699756930812,33.00372910763277,27.534634212500983,25.495847326350876,23.838521321713287,21.578391488897505,19.294549840960947,17.260152109547576,16.567536077967848,14.818199243421766,13.62971580087594,12.407599922248863,11.854645246051225,10.699603398117107,10.502793367487586,10.20641375752081,9.578430697344436,9.25658540377041,8.939936839342662,8.794461153403205,8.683401808428096,8.650193757988228
